2019-1's monthly report

farm_id,total,percent of total of all farms
Farm 100,280795,1.058267281844472%
Farm 101,238622,0.8993246152114234%
Farm 102,534955,2.016151903556365%
Farm 103,80165,0.3021278749588209%
Farm 104,90299,0.3403211498896846%
Farm 105,139102,0.5242511278303736%
Farm 106,266961,1.0061293535443372%
Farm 107,263357,0.9925465073976198%
Farm 108,42008,0.15832081046928395%
Farm 109,107620,0.4056009717840492%
Farm 110,117360,0.4423093295723473%
Farm 111,83317,0.31400721209934607%
Farm 112,536355,2.0214282588852788%
Farm 113,262269,0.988446025542007%
Farm 114,121095,0.45638589182484146%
Farm 115,267638,1.0086808482283902%
Farm 116,351290,1.3239506167814405%
Farm 117,116465,0.43893623098707757%
Farm 18,74637,0.2812938090600825%
Farm 19,62602,0.23593599735760123%
Farm 20,368239,1.387828435688408%
Farm 21,122418,0.4613720476106647%
Farm 22,513181,1.934089502890821%
Farm 23,320832,1.2091597377756929%
Farm 24,109645,0.41323284288479906%
Farm 25,544485,2.0520688080453264%
Farm 26,530163,1.9980916930305415%
Farm 27,95780,0.3609780810023809%
Farm 28,543436,2.048115310373876%
Farm 29,135096,0.5091532139392112%
Farm 30,361905,1.3639566966503096%
Farm 31,303410,1.1434992645325996%
Farm 32,76132,0.2869282027863151%
Farm 33,64497,0.24307792117780913%
Farm 34,92135,0.34724071302103116%
Farm 35,518736,1.9550253270709024%
Farm 36,59383,0.22380414892633516%
Farm 37,208098,0.7842849937401697%
Farm 38,543013,2.0465210972994976%
Farm 39,71800,0.27060165186856283%
Farm 40,499542,1.8826864955114986%
Farm 41,552093,2.080742030432736%
Farm 42,507603,1.9130669957303355%
Farm 43,93067,0.35075325813999353%
Farm 44,125872,0.47438956997214127%
Farm 45,287697,1.0842797136160156%
Farm 46,311954,1.1757001073399114%
Farm 47,340082,1.2817096235482532%
Farm 48,97508,0.36749061100835406%
Farm 49,157744,0.5945095678600916%
Farm 50,542948,2.046276123659226%
Farm 51,194560,0.7332626377095763%
Farm 52,209275,0.788720901041692%
Farm 53,329058,1.2401620941582945%
Farm 54,249141,0.9389688878577382%
Farm 55,525226,1.9794850028456514%
Farm 56,161410,0.608326081171375%
Farm 57,213574,0.8049230807266914%
Farm 58,549666,2.071595091587541%
Farm 59,527455,1.987885714294329%
Farm 60,274880,1.0359746805798127%
Farm 61,541965,2.0425713684532822%
Farm 62,292679,1.1030560009364776%
Farm 63,535144,2.0168642115257684%
Farm 64,524815,1.9779360156740917%
Farm 65,189802,0.7153305672417404%
Farm 66,31111,0.11725192188416238%
Farm 67,527190,1.98688697560707%
Farm 68,316575,1.1931158487505609%
Farm 69,276405,1.0417221390630935%
Farm 70,106297,0.40061481599822596%
Farm 71,347139,1.3083062232312122%
Farm 72,557208,2.100019571509445%
Farm 73,84132,0.3170788046658207%
Farm 74,208378,0.7853402648059523%
Farm 75,235715,0.8883686402534581%
Farm 76,117976,0.44463092591706915%
Farm 77,317248,1.1956522681336743%
Farm 78,262046,0.9876055775146158%
Farm 79,94916,0.3577218159993943%
Farm 80,261921,0.9871344743602486%
Farm 81,336399,1.267829040207976%
Farm 82,95818,0.3611212963613086%
Farm 83,252487,0.9515793770938415%
Farm 84,68235,0.25716578990600814%
Farm 85,297453,1.1210483726080727%
Farm 86,79516,0.299681907381346%
Farm 87,54342,0.2048055009170117%
Farm 88,175392,0.6610217956062809%
Farm 89,108195,0.40776804629413865%
Farm 90,498730,1.8796262094207288%
Farm 91,281871,1.0623225377972656%
Farm 92,107601,0.40552936410458534%
Farm 93,528697,1.992566595236122%
Farm 94,105392,0.3972040291606069%
Farm 95,103044,0.388354827508972%
Farm 96,252118,0.9501886805821493%
Farm 97,112552,0.4241888178427644%
Farm 98,511405,1.9273960692735705%
Farm 99,365907,1.3790395352405322%
