date,farm_id,weight
2019-12-1,Farm 123,2478
2019-12-1,Farm 124,2264
2019-12-2,Farm 123,2068
2019-12-2,Farm 124,2939
2019-12-2,Farm 125,9934
2019-12-3,-,2661
2019-12-3,Farm 124,2418
2019-12-4,Farm 123,2776
2019-12-4,Farm 124,2209
2019-12-4,Farm 125,-
2019-12-5,Farm 123,2224
2019-12-5,Farm 124,2249
2019-12-6,Farm 123,2597
2019-12-6,Farm 124,2288
2019-12-6,Farm 125,9421
2019-12-7,Farm 123,-
2019-12-7,Farm 124,2651
2019-12-8,Farm 123,2869
-,Farm 124,2271
2019-12-8,Farm 125,9532
2019-12-9,Farm 123,2031
2019-12-9,Farm 124,2741
2019-12-10,Farm 123,2180
2019-12-10,-,2794
2019-12-10,Farm 125,9457
-,Farm 123,2645
2019-12-11,Farm 124,2795
2019-12-12,Farm 123,2736
2019-12-12,Farm 124,2003
-,Farm 125,9353
2019-12-13,Farm 123,2914
2019-12-13,Farm 124,2586
2019-12-14,Farm 123,-
2019-12-14,Farm 124,2750
2019-12-14,Farm 125,9325
2019-12-15,Farm 123,2722
2019-12-15,Farm 124,2267
2019-12-16,Farm 123,2337
2019-12-16,Farm 124,2504
2019-12-16,Farm 125,9371
2019-12-17,Farm 123,2193
2019-12-17,Farm 124,2044
2019-12-18,Farm 123,2925
2019-12-18,-,2580
2019-12-18,Farm 125,9772
2019-12-19,-,2915
2019-12-19,Farm 124,2294
2019-12-20,Farm 123,2188
2019-12-20,Farm 124,2962
2019-12-20,Farm 125,9721
2019-12-21,Farm 123,2815
2019-12-21,Farm 124,2392
2019-12-22,Farm 123,2714
2019-12-22,Farm 124,-
2019-12-22,Farm 125,9732
2019-12-23,Farm 123,2387
2019-12-23,Farm 124,2724
2019-12-24,Farm 123,2961
2019-12-24,Farm 124,2683
2019-12-24,Farm 125,9271
2019-12-25,Farm 123,2745
2019-12-25,Farm 124,2956
2019-12-26,Farm 123,2855
2019-12-26,Farm 124,2516
2019-12-26,Farm 125,9372
2019-12-27,-,2689
2019-12-27,Farm 124,2647
2019-12-28,Farm 123,2025
2019-12-28,Farm 124,2984
2019-12-28,Farm 125,9277
-,Farm 123,2284
2019-12-29,Farm 124,2865
2019-12-30,Farm 123,2170
2019-12-30,Farm 124,2614
2019-12-30,Farm 125,-
2019-12-31,Farm 123,2664
2019-12-31,Farm 124,2987
